category	answer	question	air_date
ANCIENT HISTORY	Cornelia was his 1st wife; Calpurnia his 2nd	Julius Caesar	1985-05-08
WORLD CAPITALS	This Mideast city gave its name to a type of cloth, steel & a jeweler's technique	Damascus	1985-05-09
TOYS AND GAMES	Of the six different chess pieces, the only two which can make the opening move	pawn & knight	1985-05-10
U.S. PRESIDENTS	Last Democratic president to serve 2 complete terms, no more, no less	Woodrow Wilson	1985-05-13
ACTORS & ROLES	Sean Connery, Richard Todd & Dick Gautier have all played this legendary fugitive hero	Robin Hood	1985-05-14
THE AMERICAS	One of only two countries in South America not bordering Brazil	(1 of) Chile & Ecuador	1985-05-15
TELEVISION	"Only ""M·A·S·H"" regular to really serve in Korea, he also served in ""AfterMASH\"""	Jamie Farr	1985-05-16
BRITISH MONARCHS	In 1553, she became 1st woman to be crowned Queen of England	Mary (Bloody Mary/Mary Tudor)	1985-05-17
U.S. STATES	State that was southernmost of original 13 colonies	Georgia	1985-05-20
THE MILITARY	Maintaining the world's largest army, this country has about 3½ million troops on active duty	China	1985-05-21
THE OSCARS	From 1978-81, all Oscar winners for Best Supporting Actress had these same initials	M.S.	1985-05-22
REPUBLICANS	The 2 who were presidents during the Centennial and Bicentennial years	Ulysses Grant & Gerald Ford	1985-05-23
ISLANDS	Two of three islands on which Napoleon was born exiled, and died	(2 of) Corsica, Elba and St. Helena	1985-05-24
LITERATURE	Since no one had trademarked this ancient title, Thomas Nelson Publ. was allowed to in 1979	The Bible	1985-05-27
HISTORY	It was the world's largest city for the entire 19th century	London	1985-05-28
U.S. GEOGRAPHY	Two of the three states to join the Union in the first half of the 20th century	(2 of) Arizona, Oklahoma & New Mexico	1985-05-29
LANGUAGES	It was the 1st human language Tarzan spoke	French	1985-05-30
RIVERS	"2 of the 3 ""rivers"" which surround Manhattan"	(2 of) East River, Hudson River & Harlem River	1985-06-03
FAMOUS NAMES	In 1974, this baseball figure set record for most letters received in the mail in a year, some 900,000	Hank Aaron	1985-06-05
WOMEN IN SPORTS	Among the women prominent in this sport are Rachel McLish, Lori Bowen, & Cory Everson	bodybuilding	1985-09-09
WORLD LEADERS	His daughter & grandson have also served as India's prime minister	Jawaharlal Nehru	1985-09-10
EXPLORERS	Of Columbus' 3 ships on his 1st voyage, the one that never returned to Spain	the Santa Maria	1985-09-11
MISS AMERICA	He replaced Bert Parks as host of Miss America pageant for 1980	Ron Ely	1985-09-12
SCIENCE	This Polish-born scientist was 1st person to win 2 Nobel prizes	Marie Curie	1985-09-13
THE OSCARS	"Though better known for TV work, she won an Oscar for 1971's ""The Last Picture Show\"""	Cloris Leachman	1985-09-16
HOLIDAYS	Then called Decoration Day, Memorial Day was 1st observed after this war	the Civil War	1985-09-17
U.S. POPULATION	The Census Bureau estimates this state will not exceed any other in population before year 2000	Alaska	1985-09-18
THE CALENDAR	Date of the final day of the 20th century	December 31, 2000	1985-09-19
U.S. PRESIDENTS	Our 8th president, he was 1st to be born an American citizen & not a British subject	Martin Van Buren	1985-09-20
SPORTS	With a total of 20, this player holds record for most Wimbledon titles ever	Billie Jean King	1985-09-23
HISTORIC NAMES	On Sept. 8, 1825, he left for France with honorary U.S. citizenship, $200,000 & 23,000 acres in Florida	Marquis de Lafayette	1985-09-24
IN THE NEWS	A mid-August 1980 strike in the Lenin Shipyard led to the formation of this now famous group	Solidarity	1985-09-25
GAMES	The 1 word most frequently found in the center square of a bingo card	Free	1985-09-26
THE FLAG	After a former president's death, the flag is flown at half-mast for this many days	30	1985-09-27
RECENT HISTORY	President under whom the U.S. gave full recognition to Communist China	Jimmy Carter	1985-09-30
MOVIES	"Compass directions of the Wicked Witches killed in ""The Wizard of Oz\"""	west & east	1985-10-01
THE CONTINENTS	Of the 7, this continent has the greatest number of independent countries	Africa	1985-10-02
WORLD POLITICS	Last Communist party chief of the U.S.S.R. to leave office without dying	Nikita Khrushchev	1985-10-03
BUSINESS AND INDUSTRY	Over 1/2 of Fortune 500 and 42% of all N.Y. Stock Exchange companies are incorporated in this state	Delaware	1985-10-04
EARLY AMERICA	From 1752 to 1799, it was state house for both the colony & state of Pennsylvania	Independence Hall	1985-10-07
GEOGRAPHY	Other than North America, the continent closest to South America	Antarctica	1985-10-08
LANGUAGES	In population, it's the largest Spanish-speaking country in the world	Mexico	1985-10-09
AGRICULTURE	Though a leader in wheat production, this country also imports more wheat than any other	the USSR	1985-10-10
TELEVISION	"For 2 years, NBC didn't call it ""Saturday Night Live"" because of 18 wk. ABC ""SNL"" series starring him"	Howard Cosell	1985-10-11
THE BIBLE	Only 1 of the 4 Horsemen of the Apocalypse specifically named in text of King James or Douay Bible	Death	1985-10-14
FOOD & DRINK	Worldwide, more of this fruit is produced for food & drink than any other	grapes	1985-10-15
MONEY	1 of 2 pieces of U.S. currency on which an automobile is shown	the $10 bill & the $50 bill	1985-10-16
GENERALS	Former West Pt. superintendent & future general, in 1859 he led troops that captured John Brown	Robert E. Lee	1985-10-17
LANDMARKS	"According to the famous poem, its name is ""Mother of Exiles\"""	the Statue of Liberty	1985-10-18
MARK TWAIN	"State capital where Mark Twain lived 20 yrs. & wrote ""Tom Sawyer"", ""Huck Finn"", & ""Life on the Miss.\"""	Hartford, Connecticut	1985-10-21
ENGINEERING	"20th century engineering feat whose slogan was ""the land divided, the world united\"""	the Panama Canal	1985-10-22
HISTORIC NAMES	"1 of the ""heroes"" of the Alamo, he was also a slave-trader, land-swindler, & notorious brawler"	Jim Bowie	1985-10-23
BUSINESS & INDUSTRY	Having acquired Hughes Aircraft, it's now the world's largest industrial corporation again	General Motors	1985-10-24
SCIENCE	From name of Greek sun god, it is the 2nd most abundant element in the universe	helium	1985-10-25
THE OSCARS	In 1937 & '38, he became only man to win Best Actor Oscar in consecutive years	Spencer Tracy	1985-10-28
U.S. GOVERNMENT	The only elected official in the fed. gov't. with duties in both the executive & legislative branches	vice president	1985-10-29
FAMOUS AMERICANS	Famous American after whom B.F. Goodrich was named	Benjamin Franklin	1985-10-30
SOLAR SYSTEM	This planet's orbit comes closest to Earth	Venus	1985-10-31
WORLD HISTORY	In 1794, 1830, 1846, 1848, 1861, & 1863 this neighbor unsuccessfully revolted against Russia	Poland	1985-11-01
LANGUAGES	Of Switzerland's 3 official languages, the one used by about 70% of the population	German	1985-11-04
TIME	Though perhaps borrowed from the Chaldeans, this religious group established use of a 7-day week	the Jews	1985-11-05
LAKES & RIVERS	The 2 Great Lakes that border on Wisconsin	Lake Superior & Lake Michigan	1985-11-06
MATHEMATICS	The only positive whole number that is the sum of the two whole numbers before it	3	1985-11-07
MISS AMERICA	More Miss Americas have come from this populous state than any other	California	1985-11-08
THE NOBEL PRIZE	Since it was established in 1901, the Nobel Peace Prize has been awarded to these 2 U.S. Presidents	Theodore Roosevelt & Woodrow Wilson	1985-11-11
FLAGS	This color appears on more different national flags than any other	red	1985-11-12
BIOLOGY	Of the 4, blood group of the universal recipient	AB	1985-11-13
U.S. GOVERNMENT	Individual receiving 2nd-highest U.S. gov't salary—$104,700 per year excluding expenses	chief justice	1985-11-14
LANDMARKS	Popular name for the Jefferson Nat'l Expansion Memorial	Gateway Arch	1985-11-15
THE 50 STATES	Aside from the Dakotas & Carolinas, # of states with 2 words in their names as commonly used	6	1985-11-18
LITERATURE	1952 novel that begins off the coast of Cuba, & ends on shore 3 days later	The Old Man and the Sea	1985-11-19
THE OSCARS	Winning Best Actress Oscars in 1964 & 65, these 2 British-born actresses share the same 1st name	Julie Andrews & Julie Christie	1985-11-20
THE SUPREME COURT	This president appointed more Supreme Court justices than any other	George Washington	1985-11-21
THE AMERICAS	Westernmost national capital in the Americas	Mexico City	1985-11-22
BROADCASTING	Though British born, he has been under contract to NBC continuously since 1938	Bob Hope	1985-11-25
MONEY	Smallest U.S. denomination, it appears on no coins, just trading stamps, & tax notices	1 mill (1/10 of a cent)	1985-12-05
LANGUAGES	Per 1980 census, after English & Spanish, the 3rd most popular language spoken at home in the U.S.	Italian	1985-12-10
KINGS & QUEENS	Eleanor of Aquitaine was only woman ever to be married to kings of both these countries	England and France	1985-12-11
IN THE NEWS	Year when 1st test-tube baby was born, Oscar turned 50, & John Paul II became pope	1978	1985-12-12
LANDMARKS	They are America's only National Historic Landmark on wheels	the San Francisco cable cars	1985-12-13
U.S. CURRENCY	Up to & including the $100 bill, the sum total of all U.S. paper currency denominations in current use	$188	1985-12-16
THE 50 STATES	Besides X, Y, & Z, 3 other letters that do not begin the name of an American state	(3 of) B, E, J & Q	1985-12-17
RECENT HISTORY	Total number of men who have been U.S. President during the current British monarch's rule	8	1985-12-18
THE MOVIES	"Of Disney's 7 dwarfs, the 2 whose names do not end in ""Y\"""	Bashful & Doc	1985-12-19
ELECTIONS	Winner of the Presidential election in which Ronald Reagan got one electoral vote	Jimmy Carter	1985-12-20
THE FLAG	Per U.S. flag code, only place in U.S. where another flag may be legally flown higher than ours	The United Nations	1985-12-23
SPORTS	1 of 2 sports which, in order to avoid injuries, ban left-handed playing	(1 of) jai alai or polo	1985-12-24
GOVERNMENTS	Country with the oldest written constitution still in use	The United States	1985-12-25
AGRICULTURE	Though 65% of its workers are in agriculture, this continent has lowest farming output, per capita	Africa	1985-12-26
LANDMARKS	Of the 6 current standard U.S. coins, the number that feature U.S. landmarks	2	1985-12-27
WOMEN IN SPORTS	In 1975, 11-year-old Karen Stead coasted to victory as 1st female winner of this racing event	Soap Box Derby	1985-12-30
ACTORS & ROLES	Role played by J. Gilbert in the silents, R. Donat in the talkies, & R. Chamberlain in TV movie	the Count of Monte Cristo	1985-12-31
ELECTIONS	2 of 6 states that cast only 3 electoral votes for president in 1984	(2 of) Wyoming, Alaska, South Dakota, North Dakota, Vermont, and Delaware	1986-01-01
U.S. PRESIDENTS	2 of 4 presidents never to appear on a regular U.S. stamp or coin	(2 of) Richard Nixon, Gerald Ford, Ronald Reagan & Jimmy Carter	1986-01-02
ENERGY	1st plant to use this lunar-related power opened in 1966 on French side of the English Channel	tidal power (wave generated energy, tides)	1986-01-03
EUROPE	The most famous bell tower in the world sits adjacent to a cathedral in this Italian city	Pisa	1986-01-06
AMERICAN HISTORY	McLean House in Virginia was site of this event	the Confederate surrender	1986-01-07
THE MILITARY	Foreign country in which the most American soldiers are stationed	Germany	1986-01-08
VICE PRESIDENTS	2 of the 3 Vice Presidents to serve under FDR	(2 of) Harry S. Truman, Henry A. Wallace, and John Nance Garner	1986-01-09
SCIENCE	Abbreviations of the 2 radio frequency ranks falling between high frequency & super high frequency	VHF & UHF	1986-01-10
U.S. GOVERNMENT	They were the last president & vice-president to be elected to a second term	Ronald Reagan & George Bush	1986-01-13
BUSINESS & INDUSTRY	In U.S., by $ value, the most popular type of goods purchased through mail order sales	clothing	1986-01-14
TELEVISION	It ran on CBS for 20 years, longer than any other U.S. prime-time series with continuing characters	Gunsmoke	1986-01-15
THE OSCARS	The 2 Black males who have won Academy Awards for acting	Sidney Poitier & Lou Gossett (Jr.)	1986-01-16
DEMOCRATS	Nichols & May; Peter, Paul & Mary; and Simon & Garfunkel all reunited at a 1972 benefit for this Democrat	George McGovern	1986-01-17
WEATHER	All states have recorded temperatures below zero (F.), except this one	Hawaii	1986-01-20
THE '40s	Mussolini, Hitler, & FDR all died during this month in 1945	April	1986-01-21
SPORTS	Only U.S. Major League Baseball team in which both city & team names are in a foreign language	San Diego Padres	1986-01-22
INTERNATIONAL COMPETITIONS	Besides Australia, 2 other countries who have challenged the U.S. in the America's Cup	(2 of) Canada, England or Scotland	1986-01-23
TWENTIETH CENTURY	To honor him in 1965, Elizabeth II was the 1st reigning British monarch to attend a commoner's funeral	Winston Churchill	1986-01-24
LANGUAGES	In the 16th & 17th centuries it replaced Latin as the language of diplomacy & official documents	French	1986-01-27
THE OLYMPICS	Only the medley relay & this type of race begin with swimmers in water, not on starting block	the backstroke	1986-01-28
U.S. CURRENCY	"Besides ""In God We Trust"", the other word found on the face of all current U.S. coins"	Liberty	1986-01-29
WORLD GEOGRAPHY	2 of 3 world capitals on the Danube River	(2 of) Vienna, Budapest, and Belgrade	1986-01-30
POP MUSIC	This singer had 3 number 1 hits in 1957, & 20 years later his daughter had one	Pat Boone	1986-01-31
THE SUPREME COURT	This 20th century president was only 1 in history to serve full term but appoint no Supreme Court justice	Jimmy Carter	1986-02-03
ENERGY	While U.S. is #2 petroleum producer in the world, this country produces the most	the Soviet Union	1986-02-04
ACTORS & ROLES	1 of 3 actors who won Best Actor Oscar for playing an actor	Jimmy Cagney (for George M. Cohan), Ronald Colman, or Richard Dreyfuss	1986-02-05
PRESIDENTS	Of the 25 lawyers who have been President, he served most recently	Gerald Ford	1986-02-06
ROYALTY	"Just as wife of U.S. President is called ""First Lady"", husband of a reigning British Queen is called this"	Prince Consort	1986-02-07
FICTIONAL CHARACTERS	Mother of Bonnie Blue, she ran a sawmill after the Civil War	Scarlett O'Hara	1986-02-10
EUROPE	All of Denmark is surrounded by water except for its 42 mile boundary with this country	Germany	1986-02-11
THE OSCARS	In '48, she became the only performer in the sound era to win Best Actress without uttering a word in the film	Jane Wyman	1986-02-12
FAMOUS NAMES	In 1985, this person became the 1st professional athlete ever to appear on the front of a Wheaties box	Pete Rose	1986-02-13
U.S. GEOGRAPHY	Geographic distinction of the city of Leadville, Colorado	the highest incorporated U.S. city	1986-02-14
ELECTIONS	Total of senators & congressman, plus vote of D.C., it's # of electors in Electoral College	538	1986-02-24
LIFESTYLE, U.S.A.	This state has consistently had the highest divorce rate, by far	Nevada	1986-02-25
